Machine ID	Date	Temperature	Vibration	Power	System load	Work time
#	D/M/Y/H/M	oC	vsu/vs	W	%	Hours
1	01.02.2020 0:00:00	35,00	0,3980	0,540	57	45961
2	01.02.2020 0:15:00	42,00	0,3650	0,400	24	47937
3	01.02.2020 0:30:00	21,00	0,9410	0,774	100	84967
4	01.02.2020 0:45:00	38,00	0,6980	0,465	34	83721
5	01.02.2020 1:00:00	26,00	0,3950	0,653	72	21462
6	01.02.2020 1:15:00	39,00	0,8120	0,762	95	69898
7	01.02.2020 1:30:00	34,00	0,0700	0,274	0	6032
8	01.02.2020 1:45:00	35,00	0,7420	0,487	47	69941
9	01.02.2020 2:00:00	34,00	0,6300	0,782	98	57912
10	01.02.2020 2:15:00	49,30	0,3650	0,641	78	22431
11	01.02.2020 2:30:00	28,00	0,9910	0,588	66	64581
12	01.02.2020 2:45:00	30,00	0,9740	0,502	41	89121
1	01.02.2020 3:00:00	34,93	0,3928	0,547	53,82	45964
2	01.02.2020 3:15:00	41,94	0,3664	0,407	26,36	47940
3	01.02.2020 3:30:00	20,68	0,9453	0,761	100,00	84970
4	01.02.2020 3:45:00	37,99	0,6984	0,476	42,47	83724
5	01.02.2020 4:00:00	25,96	0,3968	0,681	82,16	21465
6	01.02.2020 4:15:00	38,53	0,8158	0,758	100,00	69901
7	01.02.2020 4:30:00	33,83	0,0753	0,292	3,34	6035
8	01.02.2020 4:45:00	34,72	0,7507	0,482	41,25	69944
9	01.02.2020 5:00:00	33,95	0,6305	0,729	94,46	57915
10	01.02.2020 5:15:00	48,96	0,3654	0,712	86,27	22434
11	01.02.2020 5:30:00	27,76	0,9972	0,663	75,42	64584
12	01.02.2020 5:45:00	29,88	0,9791	0,518	47,45	89124
1	01.02.2020 6:00:00	35,02	0,4025	0,562	54,12	45967
2	01.02.2020 6:15:00	42,04	0,3580	0,410	22,08	47943
3	01.02.2020 6:30:00	20,85	0,9453	0,715	89,75	84973
4	01.02.2020 6:45:00	38,45	0,6919	0,499	42,15	83727
5	01.02.2020 7:00:00	26,23	0,3966	0,666	76,14	21468
6	01.02.2020 7:15:00	39,02	0,8061	0,753	97,54	69904
7	01.02.2020 7:30:00	33,86	0,0707	0,306	7,86	6038
8	01.02.2020 7:45:00	35,09	0,7468	0,553	51,03	69947
9	01.02.2020 8:00:00	34,38	0,6274	0,679	84,25	57918
10	01.02.2020 8:15:00	49,12	0,3619	0,756	94,88	22437
11	01.02.2020 8:30:00	27,86	0,9902	0,666	79,98	64587
12	01.02.2020 8:45:00	30,03	0,9774	0,496	49,14	89127
1	01.02.2020 9:00:00	34,95	0,3969	0,515	43,75	45970
2	01.02.2020 9:15:00	41,86	0,3602	0,400	29,55	47946
3	01.02.2020 9:30:00	20,45	0,9521	0,679	80,13	84976
4	01.02.2020 9:45:00	37,99	0,6954	0,500	43,29	83730
5	01.02.2020 10:00:00	26,17	0,3979	0,687	81,38	21471
6	01.02.2020 10:15:00	38,67	0,8111	0,776	100,00	69907
7	01.02.2020 10:30:00	33,53	0,0713	0,324	7,91	6041
8	01.02.2020 10:45:00	34,70	0,7550	0,570	54,33	69950
9	01.02.2020 11:00:00	33,95	0,6362	0,661	81,39	57921
10	01.02.2020 11:15:00	49,08	0,3647	0,741	88,17	22440
11	01.02.2020 11:30:00	27,60	0,9942	0,609	70,00	64590
12	01.02.2020 11:45:00	29,86	0,9876	0,467	39,58	89130
1	01.02.2020 12:00:00	34,98	0,4017	0,487	43,18	45973
2	01.02.2020 12:15:00	41,89	0,3511	0,390	23,46	47949
3	01.02.2020 12:30:00	20,94	0,9523	0,739	89,97	84979
4	01.02.2020 12:45:00	38,22	0,6882	0,528	45,91	83733
5	01.02.2020 13:00:00	26,43	0,3970	0,688	83,30	21474
6	01.02.2020 13:15:00	39,06	0,8032	0,785	98,80	69910
7	01.02.2020 13:30:00	33,70	0,0710	0,267	0,49	6044
8	01.02.2020 13:45:00	34,96	0,7472	0,533	46,89	69953
9	01.02.2020 14:00:00	34,19	0,6307	0,712	84,20	57924
10	01.02.2020 14:15:00	49,52	0,3619	0,730	95,67	22443
11	01.02.2020 14:30:00	27,64	0,9862	0,565	59,56	64593
12	01.02.2020 14:45:00	30,00	0,9783	0,404	30,21	89133
1	01.02.2020 15:00:00	34,98	0,3931	0,441	34,91	45976
2	01.02.2020 15:15:00	41,56	0,3535	0,453	30,84	47952
3	01.02.2020 15:30:00	20,57	0,9530	0,747	97,15	84982
4	01.02.2020 15:45:00	37,75	0,6922	0,534	46,97	83736
5	01.02.2020 16:00:00	26,00	0,4056	0,706	81,31	21477
6	01.02.2020 16:15:00	39,01	0,8109	0,789	100,00	69913
7	01.02.2020 16:30:00	33,40	0,0773	0,261	0,00	6047
8	01.02.2020 16:45:00	34,82	0,7481	0,476	37,30	69956
9	01.02.2020 17:00:00	34,01	0,6327	0,699	85,65	57927
10	01.02.2020 17:15:00	49,41	0,3646	0,706	88,68	22446
11	01.02.2020 17:30:00	27,49	0,9926	0,631	69,74	64596
12	01.02.2020 17:45:00	29,97	0,9798	0,384	22,58	89136
1	01.02.2020 18:00:00	35,09	0,4024	0,466	38,34	45979
2	01.02.2020 18:15:00	41,69	0,3483	0,453	39,71	47955
3	01.02.2020 18:30:00	20,96	0,9506	0,786	98,77	84985
4	01.02.2020 18:45:00	38,01	0,6836	0,488	46,57	83739
5	01.02.2020 19:00:00	26,11	0,4020	0,690	87,93	21480
6	01.02.2020 19:15:00	39,06	0,8077	0,752	90,70	69916
7	01.02.2020 19:30:00	33,75	0,0696	0,291	5,61	6050
8	01.02.2020 19:45:00	35,26	0,7404	0,454	39,94	69959
9	01.02.2020 20:00:00	34,25	0,6247	0,743	89,15	57930
10	01.02.2020 20:15:00	49,58	0,3637	0,691	84,42	22449
11	01.02.2020 20:30:00	27,64	0,9869	0,594	67,55	64599
12	01.02.2020 20:45:00	30,05	0,9719	0,389	22,09	89139
1	01.02.2020 21:00:00	35,04	0,3969	0,499	46,95	45982
2	01.02.2020 21:15:00	41,21	0,3564	0,475	41,10	47958
3	01.02.2020 21:30:00	20,54	0,9599	0,781	100,00	84988
4	01.02.2020 21:45:00	37,79	0,6931	0,550	55,70	83742
5	01.02.2020 22:00:00	26,10	0,4107	0,691	88,09	21483
6	01.02.2020 22:15:00	38,80	0,8178	0,769	100,00	69919
7	01.02.2020 22:30:00	33,71	0,0732	0,276	0,06	6053
8	01.02.2020 22:45:00	35,21	0,7505	0,426	31,09	69962
9	01.02.2020 23:00:00	33,91	0,6316	0,698	81,58	57933
10	01.02.2020 23:15:00	49,22	0,3676	0,759	94,78	22452
11	01.02.2020 23:30:00	27,59	0,9905	0,625	66,03	64602
12	01.02.2020 23:45:00	29,69	0,9795	0,322	13,30	89142
1	02.02.2020 0:00:00	35,08	0,4027	0,525	50,20	45985
2	02.02.2020 0:15:00	41,62	0,3549	0,509	44,68	47961
3	02.02.2020 0:30:00	20,78	0,9514	0,757	100,00	84991
4	02.02.2020 0:45:00	38,25	0,6860	0,594	60,36	83745
5	02.02.2020 1:00:00	26,51	0,4044	0,671	78,92	21486
6	02.02.2020 1:15:00	39,07	0,8086	0,725	94,86	69922
7	02.02.2020 1:30:00	34,11	0,0730	0,255	0,63	6056
8	02.02.2020 1:45:00	35,34	0,7467	0,429	34,01	69965
9	02.02.2020 2:00:00	34,04	0,6261	0,637	76,32	57936
10	02.02.2020 2:15:00	49,69	0,3650	0,743	94,58	22455
11	02.02.2020 2:30:00	28,06	0,9898	0,648	73,85	64605
12	02.02.2020 2:45:00	29,76	0,9705	0,290	6,95	89145
1	02.02.2020 3:00:00	35,01	0,3998	0,551	55,16	45988
2	02.02.2020 3:15:00	41,21	0,3570	0,557	53,74	47964
3	02.02.2020 3:30:00	20,36	0,9592	0,786	99,42	84994
4	02.02.2020 3:45:00	37,95	0,6868	0,638	70,72	83748
5	02.02.2020 4:00:00	26,38	0,4140	0,606	71,17	21489
6	02.02.2020 4:15:00	38,84	0,8176	0,765	100,00	69925
7	02.02.2020 4:30:00	34,04	0,0813	0,288	0,00	6059
8	02.02.2020 4:45:00	35,20	0,7556	0,439	37,13	69968
9	02.02.2020 5:00:00	33,60	0,6346	0,686	78,75	57939
10	02.02.2020 5:15:00	49,33	0,3717	0,753	94,74	22458
11	02.02.2020 5:30:00	27,69	0,9968	0,639	76,12	64608
12	02.02.2020 5:45:00	29,29	0,9765	0,322	8,11	89148
1	02.02.2020 6:00:00	35,10	0,4090	0,576	55,54	45991
2	02.02.2020 6:15:00	41,59	0,3563	0,514	49,36	47967
3	02.02.2020 6:30:00	20,56	0,9504	0,761	94,00	84997
4	02.02.2020 6:45:00	38,34	0,6778	0,637	72,37	83751
5	02.02.2020 7:00:00	26,51	0,4114	0,660	78,71	21492
6	02.02.2020 7:15:00	38,94	0,8117	0,788	100,00	69928
7	02.02.2020 7:30:00	34,50	0,0814	0,292	5,77	6062
8	02.02.2020 7:45:00	35,68	0,7522	0,514	46,69	69971
9	02.02.2020 8:00:00	33,80	0,6317	0,663	77,43	57942
10	02.02.2020 8:15:00	49,38	0,3711	0,751	100,00	22461
11	02.02.2020 8:30:00	28,14	0,9892	0,629	66,89	64611
12	02.02.2020 8:45:00	29,36	0,9748	0,298	2,00	89151
1	02.02.2020 9:00:00	35,02	0,4041	0,520	53,06	45994
2	02.02.2020 9:15:00	41,17	0,3602	0,480	43,71	47970
3	02.02.2020 9:30:00	20,40	0,9545	0,704	87,23	85000
4	02.02.2020 9:45:00	38,06	0,6819	0,618	68,87	83754
5	02.02.2020 10:00:00	26,17	0,4127	0,706	83,13	21495
6	02.02.2020 10:15:00	38,53	0,8157	0,781	100,00	69931
7	02.02.2020 10:30:00	34,13	0,0902	0,295	3,23	6065
8	02.02.2020 10:45:00	35,67	0,7560	0,527	50,07	69974
9	02.02.2020 11:00:00	33,38	0,6351	0,720	84,82	57945
10	02.02.2020 11:15:00	48,93	0,3798	0,796	100,00	22464
11	02.02.2020 11:30:00	27,67	0,9932	0,658	76,02	64614
12	02.02.2020 11:45:00	28,91	0,9751	0,305	4,09	89154
1	02.02.2020 12:00:00	35,06	0,4086	0,556	56,33	45997
2	02.02.2020 12:15:00	41,55	0,3583	0,514	44,66	47973
3	02.02.2020 12:30:00	20,58	0,9542	0,686	87,10	85003
4	02.02.2020 12:45:00	38,49	0,6817	0,587	60,73	83757
5	02.02.2020 13:00:00	26,25	0,4070	0,705	89,02	21498
6	02.02.2020 13:15:00	38,94	0,8118	0,765	100,00	69934
7	02.02.2020 13:30:00	34,17	0,0821	0,312	5,83	6068
8	02.02.2020 13:45:00	36,15	0,7519	0,570	59,88	69977
9	02.02.2020 14:00:00	33,59	0,6317	0,640	75,63	57948
10	02.02.2020 14:15:00	49,32	0,3718	0,785	99,62	22467
11	02.02.2020 14:30:00	27,97	0,9933	0,621	65,84	64617
12	02.02.2020 14:45:00	29,36	0,9723	0,288	7,03	89157
1	02.02.2020 15:00:00	35,02	0,3991	0,613	65,91	46000
2	02.02.2020 15:15:00	41,50	0,3670	0,477	39,75	47976
3	02.02.2020 15:30:00	20,32	0,9582	0,750	96,14	85006
4	02.02.2020 15:45:00	38,19	0,6911	0,591	60,04	83760
5	02.02.2020 16:00:00	26,10	0,4124	0,730	95,15	21501
6	02.02.2020 16:15:00	38,56	0,8207	0,771	100,00	69937
7	02.02.2020 16:30:00	34,00	0,0851	0,332	11,23	6071
8	02.02.2020 16:45:00	35,66	0,7550	0,618	70,27	69980
9	02.02.2020 17:00:00	33,60	0,6333	0,699	81,93	57951
10	02.02.2020 17:15:00	49,25	0,3751	0,726	89,71	22470
11	02.02.2020 17:30:00	27,57	0,9964	0,583	57,14	64620
12	02.02.2020 17:45:00	29,13	0,9728	0,291	1,51	89160
1	02.02.2020 18:00:00	35,05	0,4041	0,632	71,93	46003
2	02.02.2020 18:15:00	41,76	0,3650	0,415	31,68	47979
3	02.02.2020 18:30:00	20,50	0,9488	0,708	85,90	85009
4	02.02.2020 18:45:00	38,36	0,6851	0,554	53,71	83763
5	02.02.2020 19:00:00	26,20	0,4124	0,761	96,90	21504
6	02.02.2020 19:15:00	38,70	0,8190	0,767	95,75	69940
7	02.02.2020 19:30:00	34,25	0,0817	0,343	12,79	6074
8	02.02.2020 19:45:00	35,68	0,7483	0,632	76,10	69983
9	02.02.2020 20:00:00	34,01	0,6252	0,663	79,66	57954
10	02.02.2020 20:15:00	49,36	0,3662	0,690	87,33	22473
11	02.02.2020 20:30:00	28,01	0,9909	0,509	47,13	64623
12	02.02.2020 20:45:00	29,25	0,9709	0,273	0,00	89163
1	02.02.2020 21:00:00	35,04	0,4004	0,679	80,57	46006
2	02.02.2020 21:15:00	41,59	0,3728	0,476	39,17	47982
3	02.02.2020 21:30:00	20,34	0,9554	0,641	78,26	85012
4	02.02.2020 21:45:00	38,25	0,6899	0,553	52,87	83766
5	02.02.2020 22:00:00	25,93	0,4212	0,768	97,04	21507
6	02.02.2020 22:15:00	38,66	0,8253	0,738	93,04	69943
7	02.02.2020 22:30:00	33,90	0,0853	0,410	22,90	6077
8	02.02.2020 22:45:00	35,46	0,7494	0,678	84,59	69986
9	02.02.2020 23:00:00	33,55	0,6275	0,608	70,14	57957
10	02.02.2020 23:15:00	49,20	0,3702	0,723	88,60	22476
11	02.02.2020 23:30:00	27,81	0,9974	0,516	52,20	64626
12	02.02.2020 23:45:00	28,81	0,9804	0,256	0,00	89166
1	03.02.2020 0:00:00	35,11	0,4017	0,621	71,97	46009
2	03.02.2020 0:15:00	41,96	0,3712	0,513	48,97	47985
3	03.02.2020 0:30:00	20,42	0,9480	0,709	82,92	85015
4	03.02.2020 0:45:00	38,41	0,6858	0,554	54,72	83769
5	03.02.2020 1:00:00	26,25	0,4120	0,768	97,72	21510
6	03.02.2020 1:15:00	38,78	0,8161	0,762	92,98	69946
7	03.02.2020 1:30:00	34,16	0,0782	0,375	19,67	6080
8	03.02.2020 1:45:00	35,85	0,7431	0,757	94,55	69989
9	03.02.2020 2:00:00	33,66	0,6246	0,585	66,09	57960
10	03.02.2020 2:15:00	49,61	0,3618	0,789	98,58	22479
11	03.02.2020 2:30:00	28,29	0,9889	0,565	57,78	64629
12	03.02.2020 2:45:00	28,93	0,9739	0,314	2,94	89169
1	03.02.2020 3:00:00	35,05	0,4005	0,599	64,78	46012
2	03.02.2020 3:15:00	41,62	0,3794	0,516	50,29	47988
3	03.02.2020 3:30:00	20,41	0,9511	0,695	88,33	85018
4	03.02.2020 3:45:00	37,93	0,6951	0,528	46,97	83772
5	03.02.2020 4:00:00	25,79	0,4161	0,713	90,93	21513
6	03.02.2020 4:15:00	38,68	0,8246	0,747	91,12	69949
7	03.02.2020 4:30:00	33,68	0,0871	0,401	23,83	6083
8	03.02.2020 4:45:00	35,49	0,7473	0,776	100,00	69992
9	03.02.2020 5:00:00	33,34	0,6261	0,564	61,56	57963
10	03.02.2020 5:15:00	49,21	0,3679	0,771	94,64	22482
11	03.02.2020 5:30:00	27,90	0,9943	0,507	48,85	64632
12	03.02.2020 5:45:00	28,54	0,9792	0,281	0,00	89172
1	03.02.2020 6:00:00	35,09	0,4055	0,574	58,18	46015
2	03.02.2020 6:15:00	41,77	0,3739	0,553	53,91	47991
3	03.02.2020 6:30:00	20,58	0,9478	0,722	91,09	85021
4	03.02.2020 6:45:00	38,22	0,6921	0,467	37,73	83775
5	03.02.2020 7:00:00	25,83	0,4155	0,753	94,53	21516
6	03.02.2020 7:15:00	39,05	0,8168	0,693	83,67	69952
7	03.02.2020 7:30:00	34,02	0,0833	0,430	26,58	6086
8	03.02.2020 7:45:00	35,87	0,7384	0,755	94,80	69995
9	03.02.2020 8:00:00	33,64	0,6175	0,604	69,27	57966
10	03.02.2020 8:15:00	49,42	0,3597	0,699	88,17	22485
11	03.02.2020 8:30:00	28,27	0,9895	0,514	51,52	64635
12	03.02.2020 8:45:00	29,04	0,9704	0,283	0,00	89175
1	03.02.2020 9:00:00	35,03	0,4009	0,497	47,74	46018
2	03.02.2020 9:15:00	41,75	0,3766	0,527	47,33	47994
3	03.02.2020 9:30:00	20,49	0,9538	0,722	88,56	85024
4	03.02.2020 9:45:00	37,88	0,6958	0,504	43,94	83778
5	03.02.2020 10:00:00	25,78	0,4200	0,745	98,70	21519
6	03.02.2020 10:15:00	38,86	0,8208	0,640	76,14	69955
7	03.02.2020 10:30:00	34,01	0,0852	0,438	36,67	6089
8	03.02.2020 10:45:00	35,49	0,7398	0,739	89,10	69998
9	03.02.2020 11:00:00	33,51	0,6205	0,556	60,50	57969
10	03.02.2020 11:15:00	49,30	0,3669	0,762	98,29	22488
11	03.02.2020 11:30:00	28,20	0,9903	0,550	57,55	64638
12	03.02.2020 11:45:00	28,96	0,9799	0,262	0,00	89178
1	03.02.2020 12:00:00	35,11	0,4112	0,485	40,12	46021
2	03.02.2020 12:15:00	42,21	0,3759	0,567	55,08	47997
3	03.02.2020 12:30:00	20,86	0,9499	0,700	82,07	85027
4	03.02.2020 12:45:00	38,08	0,6922	0,496	48,70	83781
5	03.02.2020 13:00:00	26,03	0,4146	0,753	100,00	21522
6	03.02.2020 13:15:00	39,11	0,8128	0,697	86,06	69958
7	03.02.2020 13:30:00	34,51	0,0843	0,466	41,37	6092
8	03.02.2020 13:45:00	35,59	0,7351	0,765	97,71	70001
9	03.02.2020 14:00:00	33,73	0,6204	0,517	53,26	57972
10	03.02.2020 14:15:00	49,58	0,3592	0,749	92,91	22491
11	03.02.2020 14:30:00	28,30	0,9839	0,526	50,36	64641
12	03.02.2020 14:45:00	29,21	0,9709	0,294	5,52	89181
1	03.02.2020 15:00:00	35,02	0,4086	0,497	39,70	46024
2	03.02.2020 15:15:00	41,75	0,3807	0,534	55,27	48000
3	03.02.2020 15:30:00	20,57	0,9591	0,734	92,29	85030
4	03.02.2020 15:45:00	37,66	0,6939	0,523	47,16	83784
5	03.02.2020 16:00:00	25,94	0,4185	0,792	100,00	21525
6	03.02.2020 16:15:00	38,81	0,8139	0,681	78,22	69961
7	03.02.2020 16:30:00	34,29	0,0846	0,491	45,66	6095
8	03.02.2020 16:45:00	35,53	0,7432	0,736	95,87	70004
9	03.02.2020 17:00:00	33,69	0,6248	0,552	53,69	57975
10	03.02.2020 17:15:00	49,54	0,3666	0,687	84,21	22494
11	03.02.2020 17:30:00	27,83	0,9866	0,491	45,76	64644
12	03.02.2020 17:45:00	29,10	0,9740	0,329	12,66	89184
1	03.02.2020 18:00:00	35,13	0,4103	0,513	46,85	46027
2	03.02.2020 18:15:00	42,08	0,3806	0,516	52,89	48003
3	03.02.2020 18:30:00	20,62	0,9537	0,712	83,86	85033
4	03.02.2020 18:45:00	37,87	0,6873	0,454	36,68	83787
5	03.02.2020 19:00:00	26,02	0,4169	0,765	94,91	21528
6	03.02.2020 19:15:00	38,88	0,8088	0,700	87,08	69964
7	03.02.2020 19:30:00	34,35	0,0818	0,499	45,29	6098
8	03.02.2020 19:45:00	35,78	0,7418	0,727	85,52	70007
9	03.02.2020 20:00:00	33,97	0,6211	0,540	48,55	57978
10	03.02.2020 20:15:00	49,96	0,3661	0,687	86,20	22497
11	03.02.2020 20:30:00	27,84	0,9796	0,538	54,50	64647
12	03.02.2020 20:45:00	29,52	0,9676	0,295	3,22	89187
1	03.02.2020 21:00:00	35,13	0,4076	0,555	52,82	46030
2	03.02.2020 21:15:00	42,02	0,3809	0,576	56,32	48006
3	03.02.2020 21:30:00	20,20	0,9630	0,674	75,96	85036
4	03.02.2020 21:45:00	37,55	0,6914	0,522	44,69	83790
5	03.02.2020 22:00:00	25,83	0,4200	0,714	86,36	21531
6	03.02.2020 22:15:00	38,74	0,8143	0,726	85,52	69967
7	03.02.2020 22:30:00	34,32	0,0858	0,459	39,60	6101
8	03.02.2020 22:45:00	35,66	0,7477	0,667	75,78	70010
9	03.02.2020 23:00:00	33,63	0,6215	0,492	47,93	57981
10	03.02.2020 23:15:00	49,81	0,3676	0,765	96,33	22500
11	03.02.2020 23:30:00	27,80	0,9811	0,583	57,55	64650
12	03.02.2020 23:45:00	29,41	0,9746	0,301	7,69	89190
1	04.02.2020 0:00:00	35,17	0,4083	0,475	42,85	46033
2	04.02.2020 0:15:00	42,06	0,3755	0,515	46,31	48009
3	04.02.2020 0:30:00	20,52	0,9573	0,620	73,46	85039
4	04.02.2020 0:45:00	37,72	0,6844	0,495	47,36	83793
5	04.02.2020 1:00:00	26,01	0,4201	0,710	81,99	21534
6	04.02.2020 1:15:00	38,87	0,8047	0,756	93,15	69970
7	04.02.2020 1:30:00	34,83	0,0818	0,505	42,11	6104
8	04.02.2020 1:45:00	35,76	0,7446	0,665	75,34	70013
9	04.02.2020 2:00:00	33,74	0,6140	0,500	41,82	57984
10	04.02.2020 2:15:00	49,88	0,3597	0,729	89,19	22503
11	04.02.2020 2:30:00	28,31	0,9736	0,527	55,19	64653
12	04.02.2020 2:45:00	29,75	0,9717	0,284	0,00	89193
1	04.02.2020 3:00:00	35,16	0,3992	0,486	37,57	46036
2	04.02.2020 3:15:00	41,96	0,3802	0,530	54,79	48012
3	04.02.2020 3:30:00	20,26	0,9620	0,675	76,49	85042
4	04.02.2020 3:45:00	37,39	0,6913	0,498	45,54	83796
5	04.02.2020 4:00:00	25,57	0,4259	0,653	73,32	21537
6	04.02.2020 4:15:00	38,59	0,8081	0,794	100,00	69973
7	04.02.2020 4:30:00	34,67	0,0875	0,484	40,36	6107
8	04.02.2020 4:45:00	35,57	0,7531	0,643	72,35	70016
9	04.02.2020 5:00:00	33,39	0,6154	0,446	33,09	57987
10	04.02.2020 5:15:00	49,88	0,3666	0,715	84,64	22506
11	04.02.2020 5:30:00	28,31	0,9805	0,527	50,29	64656
12	04.02.2020 5:45:00	29,51	0,9790	0,292	0,00	89196
1	04.02.2020 6:00:00	35,24	0,4040	0,465	33,92	46039
2	04.02.2020 6:15:00	42,33	0,3760	0,498	45,45	48015
3	04.02.2020 6:30:00	20,28	0,9560	0,615	68,40	85045
4	04.02.2020 6:45:00	37,68	0,6880	0,464	36,13	83799
5	04.02.2020 7:00:00	25,88	0,4212	0,653	70,93	21540
6	04.02.2020 7:15:00	39,06	0,8002	0,775	100,00	69976
7	04.02.2020 7:30:00	35,16	0,0794	0,476	40,98	6110
8	04.02.2020 7:45:00	35,90	0,7502	0,663	79,89	70019
9	04.02.2020 8:00:00	33,64	0,6145	0,436	31,97	57990
