Machine ID	Date	Temperature	Vibration	Power	System load	Work time
#	D/M/Y/H/M	oC	vsu/vs	W	%	Hours
1	01.03.2020 0:00	36,9	0,5434	0,329	13,58	46657
2	01.03.2020 0:15	41,98	0,4034	0,539	50,86	48630
3	01.03.2020 0:30	21,09	1,1092	0,75	99,84	85660
4	01.03.2020 0:45	42,48	0,7457	0,36	17,62	84414
5	01.03.2020 1:00	28,25	0,5146	0,466	36,67	22155
6	01.03.2020 1:15	41,14	0,8612	0,756	96,22	70591
7	01.03.2020 1:30	38,47	0,1592	0,792	99,2	6725
8	01.03.2020 1:45	37,99	0,8069	0,611	65,9	70634
9	01.03.2020 2:00	35,93	0,6467	0,764	100	58605
10	01.03.2020 2:15	52,56	0,4247	0,501	46,75	23124
11	01.03.2020 2:30	31,52	1,0329	0,515	45,13	65274
12	01.03.2020 2:45	28,69	1,0392	0,425	32,16	89814
1	01.03.2020 3:00	36,83	0,5368	0,29	5,14	46660
2	01.03.2020 3:15	41,52	0,4084	0,548	50,87	48633
3	01.03.2020 3:30	20,71	1,118	0,764	100	85663
4	01.03.2020 3:45	42,09	0,7477	0,358	17,96	84417
5	01.03.2020 4:00	27,81	0,5234	0,449	35,84	22158
6	01.03.2020 4:15	40,84	0,8657	0,757	97,68	70594
7	01.03.2020 4:30	38,14	0,1618	0,773	100	6728
8	01.03.2020 4:45	37,57	0,8169	0,67	76,18	70637
9	01.03.2020 5:00	35,62	0,6556	0,737	94,16	58608
10	01.03.2020 5:15	52,44	0,4299	0,516	50,9	23127
11	01.03.2020 5:30	31,19	1,0382	0,522	53,52	65277
12	01.03.2020 5:45	28,27	1,0469	0,462	34,39	89817
1	01.03.2020 6:00	36,85	0,5407	0,344	14,38	46663
2	01.03.2020 6:15	41,96	0,3993	0,51	47,57	48636
3	01.03.2020 6:30	21,13	1,1112	0,771	98,62	85666
4	01.03.2020 6:45	42,44	0,7403	0,365	20,64	84420
5	01.03.2020 7:00	28,04	0,5194	0,458	41,44	22161
6	01.03.2020 7:15	41,05	0,8609	0,77	97,27	70597
7	01.03.2020 7:30	38,47	0,1584	0,77	100	6731
8	01.03.2020 7:45	37,86	0,8098	0,644	77,98	70640
9	01.03.2020 8:00	35,96	0,6479	0,735	88,07	58611
10	01.03.2020 8:15	52,59	0,4293	0,51	43,73	23130
11	01.03.2020 8:30	31,41	1,038	0,579	57,35	65280
12	01.03.2020 8:45	28,28	1,0425	0,473	44,35	89820
1	01.03.2020 9:00	36,84	0,5366	0,373	23,92	46666
2	01.03.2020 9:15	41,59	0,4044	0,521	46,68	48639
3	01.03.2020 9:30	20,85	1,1204	0,767	97,99	85669
4	01.03.2020 9:45	42,15	0,7427	0,442	30,11	84423
5	01.03.2020 10:00	27,85	0,5257	0,5	42,67	22164
6	01.03.2020 10:15	40,58	0,8654	0,79	100	70600
7	01.03.2020 10:30	37,99	0,1647	0,784	100	6734
8	01.03.2020 10:45	37,82	0,8162	0,69	84,23	70643
9	01.03.2020 11:00	35,91	0,6564	0,701	86,16	58614
10	01.03.2020 11:15	52,18	0,4315	0,498	42,86	23133
11	01.03.2020 11:30	31,4	1,043	0,596	61,65	65283
12	01.03.2020 11:45	27,82	1,0478	0,573	54,66	89823
1	01.03.2020 12:00	36,9	0,5369	0,438	34,39	46669
2	01.03.2020 12:15	41,91	0,3965	0,479	38,64	48642
3	01.03.2020 12:30	21,13	1,1119	0,777	100	85672
4	01.03.2020 12:45	42,54	0,7403	0,471	36	84426
5	01.03.2020 13:00	27,92	0,5188	0,458	32,38	22167
6	01.03.2020 13:15	41,07	0,8645	0,795	100	70603
7	01.03.2020 13:30	38,25	0,159	0,731	93,84	6737
8	01.03.2020 13:45	37,85	0,8086	0,712	89,78	70646
9	01.03.2020 14:00	36,14	0,6536	0,742	92,79	58617
10	01.03.2020 14:15	52,5	0,4272	0,496	45,71	23136
11	01.03.2020 14:30	31,44	1,0403	0,622	71,57	65286
12	01.03.2020 14:45	27,91	1,0395	0,482	44,27	89826
1	01.03.2020 15:00	36,88	0,5337	0,477	43,91	46672
2	01.03.2020 15:15	41,7	0,4044	0,497	48,87	48645
