Latitude,Longitude,Elevation
55.72837000,37.55386000,126.0
55.72862000,37.55354000,127.0
55.72863000,37.55353000,127.0
55.72870000,37.55343000,125.0
55.72875000,37.55337000,124.0
55.72862000,37.55302000,125.0
55.72861000,37.55302000,125.0
55.72828000,37.55199000,123.0
55.72827000,37.55199000,123.0
55.72800000,37.55106000,123.0
55.72785000,37.55044000,123.0
55.72757000,37.54905000,121.0
55.72757000,37.54904000,121.0
55.72746000,37.54855000,121.0
55.72733000,37.54814000,123.0
55.72711000,37.54756000,123.0
55.72678000,37.54681000,121.0
55.72678000,37.54680000,121.0
55.72674000,37.54673000,121.0
55.72483000,37.54854000,124.0
55.72438000,37.54897000,123.0
55.72399000,37.54941000,123.0
55.72382000,37.54966000,122.0
55.72131000,37.55401000,121.0
55.72131000,37.55402000,121.0
55.71792000,37.55990000,121.0
55.71792000,37.55991000,121.0
55.71632000,37.56268000,123.0
55.71562000,37.56393000,124.0
55.71522000,37.56451000,124.0
55.71492000,37.56506000,123.0
55.71448000,37.56587000,123.0
55.71288000,37.56870000,124.0
55.71247000,37.56940000,119.0
55.71247000,37.56939000,119.0
55.71285000,37.57129000,121.0
55.71295000,37.57165000,120.0
55.71330000,37.57276000,122.0
55.71330000,37.57275000,122.0
55.71373000,37.57407000,124.0
55.71407000,37.57503000,122.0
55.71422000,37.57539000,123.0
55.71428000,37.57560000,123.0
55.71512000,37.57709000,126.0
55.71512000,37.57708000,126.0
55.71530000,37.57740000,129.0
55.71540000,37.57750000,130.0
55.71550000,37.57777000,131.0
55.71682000,37.58001000,123.0
55.71682000,37.58000000,123.0
55.71720000,37.58061000,125.0
55.71810000,37.58193000,127.0
55.71810000,37.58192000,127.0
55.71879000,37.58286000,121.0
55.71958000,37.58383000,121.0
55.71958000,37.58382000,121.0
55.72015000,37.58449000,121.0
55.72064000,37.58503000,121.0
55.72064000,37.58502000,121.0
55.72628000,37.59094000,121.0
55.72680000,37.59137000,121.0
55.73070000,37.59411000,122.0
55.73157000,37.59480000,122.0
55.73231000,37.59546000,121.0
55.73405000,37.59722000,121.0
55.73404000,37.59722000,121.0
55.73479000,37.59805000,121.0
55.73515000,37.59859000,121.0
55.73535000,37.59894000,121.0
55.73593000,37.60007000,121.0
55.73593000,37.60006000,121.0
55.73763000,37.60372000,124.0
55.73763000,37.60371000,124.0
55.73825000,37.60499000,121.0
55.73840000,37.60523000,121.0
55.73862000,37.60551000,121.0
55.73887000,37.60578000,121.0
55.73914000,37.60595000,122.0
55.74204000,37.60707000,123.0
55.74258000,37.60714000,122.0
55.74320000,37.60725000,123.0
55.74331000,37.60729000,123.0
55.74371000,37.60754000,124.0
55.74531000,37.60894000,121.0
55.74604000,37.60962000,123.0
55.74641000,37.61002000,126.0
55.74673000,37.61045000,128.0
55.74708000,37.61103000,125.0
55.74725000,37.61141000,125.0
55.74737000,37.61176000,123.0
55.74757000,37.61238000,122.0
55.74771000,37.61293000,121.0
55.74771000,37.61292000,121.0
55.74800000,37.61416000,122.0
55.74854000,37.61627000,121.0
55.74874000,37.61723000,123.0
55.74933000,37.62119000,124.0
55.74946000,37.62232000,126.0
55.74953000,37.62325000,123.0
55.74963000,37.62414000,121.0
55.74977000,37.62579000,122.0
55.74981000,37.62688000,123.0
55.74981000,37.62785000,122.0
55.74977000,37.62865000,121.0
55.74956000,37.63167000,127.0
55.74950000,37.63235000,126.0
55.74944000,37.63271000,125.0
55.74931000,37.63341000,124.0
55.74907000,37.63442000,122.0
55.74786000,37.63882000,121.0
55.74752000,37.63978000,121.0
55.74746000,37.63991000,121.0
55.74691000,37.64061000,123.0
55.74689000,37.64063000,123.0
55.74682000,37.64057000,123.0
55.74675000,37.64057000,123.0
55.74667000,37.64066000,123.0
55.74662000,37.64074000,122.0
55.74624000,37.64110000,123.0
55.74615000,37.64121000,123.0
55.74610000,37.64128000,124.0
55.74595000,37.64125000,122.0
55.74582000,37.64138000,122.0
55.74582000,37.64139000,123.0
55.74536000,37.64190000,126.0
55.74465000,37.64268000,126.0
55.74465000,37.64269000,126.0
