Latitude,Longitude,Elevation
22.40002000,114.3238200,7.0
22.39995000,114.3238700,7.0
22.39998000,114.3239300,7.0
22.39991000,114.3243300,12.0
22.39986000,114.3244800,13.0
22.39989000,114.3245800,15.0
22.39989000,114.3246400,15.0
22.39979000,114.3248300,18.0
22.39971000,114.3249100,18.0
22.39966000,114.3249400,19.0
22.39954000,114.3249700,19.0
22.39905000,114.3253700,23.0
22.39872000,114.3255300,28.0
22.39855000,114.3255600,31.0
22.39845000,114.3255600,31.0
22.39812000,114.3256500,30.0
22.39798000,114.3257100,30.0
22.39796000,114.3257500,30.0
22.39767000,114.3260000,31.0
22.39742000,114.3261700,34.0
22.39700000,114.3265000,42.0
22.39689000,114.3265100,46.0
22.39651000,114.3267900,56.0
22.39639000,114.3269600,56.0
22.39588000,114.3278200,66.0
22.39581000,114.3280300,66.0
22.39574000,114.3286000,70.0
22.39568000,114.3289600,74.0
22.39561000,114.3291600,78.0
22.39539000,114.3294900,89.0
22.39508000,114.3299200,92.0
22.39489000,114.3301500,92.0
22.39448000,114.3304100,89.0
22.39414000,114.3305900,91.0
22.39374000,114.3309100,93.0
22.39354000,114.3310100,94.0
22.39324000,114.3310700,95.0
22.39320000,114.3310700,95.0
22.39260000,114.3312800,93.0
22.39237000,114.3313800,94.0
22.39218000,114.3316100,94.0
22.39208000,114.3318300,91.0
22.39199000,114.3319500,91.0
22.39191000,114.3320200,90.0
22.39177000,114.3320900,88.0
22.39162000,114.3321500,87.0
22.39144000,114.3322800,84.0
22.39124000,114.3324700,82.0
22.39110000,114.3325600,84.0
22.39094000,114.3326200,85.0
22.39067000,114.3327800,82.0
22.39052000,114.3328300,81.0
22.38985000,114.3331200,84.0
22.38975000,114.3331400,86.0
22.38966000,114.3332100,86.0
22.38959000,114.3333600,84.0
22.38950000,114.3336900,82.0
22.38937000,114.3339200,77.0
22.38922000,114.3339800,78.0
22.38912000,114.3339800,80.0
22.38897000,114.3340100,83.0
22.38867000,114.3342000,86.0
22.38836000,114.3345100,86.0
22.38807000,114.3347300,87.0
22.38799000,114.3348200,88.0
22.38769000,114.3353800,77.0
22.38763000,114.3355300,75.0
22.38756000,114.3356200,76.0
22.38728000,114.3357500,80.0
22.38701000,114.3359500,79.0
22.38692000,114.3359900,79.0
22.38671000,114.3359900,78.0
22.38660000,114.3359700,78.0
22.38616000,114.3359800,77.0
22.38582000,114.3360100,75.0
22.38573000,114.3360700,71.0
22.38573000,114.3360200,73.0
22.38549000,114.3359000,75.0
22.38532000,114.3357600,76.0
22.38441000,114.3352700,75.0
22.38387000,114.3350200,81.0
22.38332000,114.3346300,81.0
22.38309000,114.3345500,81.0
22.38287000,114.3344900,80.0
22.38277000,114.3344900,79.0
22.38257000,114.3345300,80.0
22.38251000,114.3346400,79.0
22.38239000,114.3348000,82.0
22.38217000,114.3352100,82.0
22.38205000,114.3353200,81.0
22.38186000,114.3354300,77.0
22.38156000,114.3356600,70.0
22.38149000,114.3357300,68.0
22.38140000,114.3357600,67.0
22.38117000,114.3359700,63.0
22.38113000,114.3359800,63.0
22.38107000,114.3360100,62.0
22.38104000,114.3360600,61.0
22.38105000,114.3363100,61.0
22.38098000,114.3364000,60.0
22.38078000,114.3367500,56.0
22.38056000,114.3370300,56.0
22.38043000,114.3371500,55.0
22.38018000,114.3373500,55.0
22.38009000,114.3374000,56.0
22.37998000,114.3374000,55.0
