Latitude,Longitude,Elevation
50.69161000,7.658560000,275.0
50.69163000,7.658480000,275.0
50.69160000,7.658360000,274.0
50.69153000,7.658240000,273.0
50.69137000,7.658050000,272.0
50.69134000,7.658060000,272.0
50.69125000,7.658210000,271.0
50.69118000,7.658450000,270.0
50.69107000,7.658590000,269.0
50.69104000,7.658640000,269.0
50.69103000,7.658760000,269.0
50.69125000,7.659700000,275.0
50.69137000,7.660410000,278.0
50.69150000,7.661860000,284.0
50.69156000,7.662690000,288.0
50.69171000,7.664130000,293.0
50.69174000,7.664750000,295.0
50.69175000,7.666840000,301.0
50.69171000,7.667420000,302.0
50.69172000,7.667720000,302.0
50.69181000,7.668070000,302.0
50.69214000,7.668620000,301.0
50.69216000,7.668720000,301.0
50.69217000,7.668830000,301.0
50.69213000,7.669090000,301.0
50.69187000,7.670210000,300.0
50.69169000,7.671140000,299.0
50.69155000,7.672500000,300.0
50.69150000,7.673270000,297.0
50.69145000,7.675170000,299.0
50.69126000,7.679770000,304.0
50.69117000,7.681210000,304.0
50.69110000,7.682830000,307.0
50.69133000,7.685580000,302.0
50.69132000,7.685670000,302.0
50.69127000,7.685740000,302.0
50.69122000,7.685780000,302.0
50.69004000,7.686140000,296.0
50.68915000,7.686440000,288.0
50.68906000,7.686510000,288.0
50.68862000,7.686960000,285.0
50.68846000,7.687150000,285.0
50.68841000,7.687260000,285.0
50.68837000,7.687380000,285.0
50.68835000,7.687510000,285.0
50.68837000,7.687630000,285.0
50.68860000,7.688120000,283.0
50.68863000,7.688230000,283.0
50.68864000,7.688330000,283.0
50.68863000,7.688430000,283.0
50.68860000,7.688520000,282.0
50.68856000,7.688590000,282.0
50.68828000,7.688900000,280.0
50.68823000,7.689000000,279.0
50.68821000,7.689110000,279.0
50.68822000,7.689230000,278.0
50.68824000,7.689340000,278.0
50.68840000,7.689640000,277.0
50.68861000,7.690100000,276.0
50.68863000,7.690230000,275.0
50.68861000,7.690500000,273.0
50.68834000,7.692260000,261.0
50.68833000,7.692420000,261.0
50.68835000,7.693090000,260.0
50.68845000,7.693960000,258.0
50.68848000,7.694120000,257.0
50.68858000,7.695080000,251.0
50.68853000,7.695840000,250.0
50.68843000,7.696750000,246.0
50.68844000,7.697010000,246.0
50.68852000,7.697530000,246.0
50.68852000,7.697660000,246.0
50.68849000,7.697770000,246.0
50.68844000,7.697860000,246.0
50.68837000,7.697930000,245.0
50.68814000,7.698050000,243.0
50.68801000,7.698180000,243.0
50.68791000,7.698320000,244.0
50.68719000,7.699690000,244.0
50.68617000,7.702430000,249.0
50.68571000,7.703640000,251.0
50.68560000,7.703880000,252.0
50.68555000,7.703940000,251.0
50.68548000,7.703990000,251.0
50.68540000,7.704010000,250.0
50.68522000,7.703970000,248.0
50.68511000,7.703960000,247.0
50.68501000,7.703990000,246.0
50.68480000,7.704130000,244.0
50.68469000,7.704190000,243.0
50.68448000,7.704250000,242.0
50.68439000,7.704330000,243.0
50.68430000,7.704430000,243.0
50.68403000,7.704810000,245.0
50.68398000,7.704920000,245.0
50.68385000,7.705210000,246.0
50.68352000,7.705910000,249.0
50.68312000,7.706980000,253.0
