Latitude,Longitude,Elevation
56.32864000,44.03351000,75.0
56.32905000,44.03385000,73.0
56.32904000,44.03385000,73.0
56.32888000,44.03375000,74.0
56.32885000,44.03373000,74.0
56.32905000,44.03257000,75.0
56.32909000,44.03226000,75.0
56.32914000,44.03178000,74.0
56.32927000,44.02927000,76.0
56.32935000,44.02863000,76.0
56.32946000,44.02811000,79.0
56.32977000,44.02687000,79.0
56.32986000,44.02639000,78.0
56.32988000,44.02595000,78.0
56.32986000,44.02512000,78.0
56.32992000,44.02451000,78.0
56.33000000,44.02414000,77.0
56.33012000,44.02373000,77.0
56.33045000,44.02290000,75.0
56.33056000,44.02254000,74.0
56.33066000,44.02219000,74.0
56.33080000,44.02148000,74.0
56.33091000,44.02085000,74.0
56.33101000,44.02009000,74.0
56.33124000,44.01804000,78.0
56.33167000,44.01439000,74.0
56.33169000,44.01400000,76.0
56.33169000,44.01334000,75.0
56.33157000,44.01014000,79.0
56.33157000,44.00929000,77.0
56.33167000,44.00864000,75.0
56.33184000,44.00689000,77.0
56.33192000,44.00617000,77.0
56.33193000,44.00592000,76.0
56.33188000,44.00496000,75.0
56.33149000,43.99922000,74.0
56.33140000,43.99813000,74.0
56.33103000,43.99563000,74.0
56.33057000,43.99276000,73.0
56.33036000,43.99156000,77.0
56.33026000,43.99113000,77.0
56.32968000,43.98907000,75.0
56.32845000,43.98460000,73.0
56.32667000,43.98029000,76.0
56.32642000,43.98016000,77.0
56.32622000,43.98003000,78.0
56.32609000,43.97988000,77.0
56.32598000,43.97971000,77.0
56.32581000,43.97935000,78.0
56.32537000,43.97830000,78.0
56.32548000,43.97802000,78.0
56.32791000,43.97272000,61.0
56.33020000,43.96766000,66.0
56.33036000,43.96750000,71.0
56.33045000,43.96744000,73.0
56.33094000,43.96726000,76.0
56.33129000,43.96708000,74.0
56.33143000,43.96699000,74.0
56.33157000,43.96683000,73.0
56.33177000,43.96643000,73.0
56.33204000,43.96575000,72.0
56.33227000,43.96532000,73.0
56.33265000,43.96477000,73.0
56.33282000,43.96441000,72.0
56.33333000,43.96316000,73.0
56.33401000,43.96169000,74.0
56.33449000,43.96059000,73.0
56.33458000,43.96047000,73.0
56.33497000,43.95979000,72.0
56.33520000,43.95933000,72.0
56.33576000,43.95806000,71.0
56.33593000,43.95799000,71.0
56.33608000,43.95796000,71.0
56.33622000,43.95777000,72.0
56.33627000,43.95763000,72.0
56.33630000,43.95745000,71.0
56.33629000,43.95727000,71.0
56.33625000,43.95706000,70.0
56.33632000,43.95658000,70.0
56.33761000,43.95354000,70.0
56.33773000,43.95314000,70.0
56.33782000,43.95291000,71.0
56.33800000,43.95218000,70.0
56.33807000,43.95177000,70.0
56.33834000,43.94849000,70.0
56.33844000,43.94773000,68.0
56.33852000,43.94732000,68.0
56.33860000,43.94699000,68.0
56.33878000,43.94647000,69.0
56.34165000,43.93953000,75.0
56.34183000,43.93906000,76.0
56.34196000,43.93862000,75.0
56.34206000,43.93812000,74.0
56.34212000,43.93761000,73.0
56.34219000,43.93663000,76.0
56.34223000,43.93633000,76.0
56.34232000,43.93593000,76.0
56.34250000,43.93527000,74.0
56.34263000,43.93488000,74.0
56.34333000,43.93320000,76.0
56.34341000,43.93292000,78.0
56.34343000,43.93271000,79.0
56.34333000,43.93111000,74.0
56.34310000,43.93085000,74.0
56.34233000,43.92989000,82.0
56.34219000,43.92976000,83.0
56.34202000,43.92966000,82.0
56.34184000,43.92960000,82.0
56.34160000,43.92958000,81.0
56.34091000,43.92973000,78.0
56.34073000,43.92902000,78.0
56.34073000,43.92901000,78.0
56.33996000,43.92588000,79.0
56.33956000,43.92414000,75.0
56.34016000,43.92364000,76.0
56.34123000,43.92280000,76.0
56.34149000,43.92264000,77.0
56.34179000,43.92266000,77.0
56.34371000,43.92261000,77.0
56.34461000,43.92210000,76.0
56.34508000,43.92186000,77.0
56.34646000,43.92190000,76.0
56.34769000,43.92207000,77.0
56.34859000,43.92231000,77.0
56.34939000,43.92264000,80.0
56.35052000,43.92334000,77.0
56.35149000,43.92399000,71.0
56.35530000,43.92669000,69.0
56.35780000,43.92843000,69.0
56.35864000,43.92908000,69.0
56.35948000,43.92980000,70.0
56.36063000,43.93088000,75.0
56.36299000,43.93341000,78.0
56.36382000,43.93441000,77.0
56.36425000,43.93501000,76.0
56.36516000,43.93635000,76.0
56.36554000,43.93696000,76.0
56.36601000,43.93762000,77.0
56.36777000,43.94018000,76.0
56.36859000,43.94145000,75.0
56.36910000,43.94219000,75.0
56.37014000,43.94362000,75.0
56.39056000,43.97412000,72.0
56.39098000,43.97484000,70.0
56.39125000,43.97535000,70.0
56.39148000,43.97587000,70.0
56.39206000,43.97765000,69.0
56.39278000,43.98038000,67.0
56.39304000,43.98148000,68.0
56.39336000,43.98276000,67.0
56.39359000,43.98349000,66.0
56.39409000,43.98479000,68.0
56.39446000,43.98549000,68.0
56.39485000,43.98646000,68.0
56.39499000,43.98721000,67.0
56.39503000,43.98791000,68.0
56.39497000,43.98887000,67.0
56.39497000,43.98923000,67.0
56.39502000,43.98950000,67.0
56.39511000,43.98976000,67.0
56.39522000,43.98994000,67.0
56.39540000,43.99010000,68.0
56.39574000,43.99018000,69.0
56.39838000,43.99049000,68.0
56.39914000,43.99055000,70.0
56.39957000,43.99046000,73.0
56.39983000,43.99030000,74.0
56.40017000,43.98994000,75.0
56.40032000,43.98956000,76.0
56.40060000,43.98860000,78.0
56.40066000,43.98832000,78.0
56.40072000,43.98786000,78.0
56.40075000,43.98742000,77.0
56.40079000,43.98645000,77.0
56.40080000,43.98578000,77.0
56.40079000,43.98549000,77.0
56.40075000,43.98520000,77.0
56.40070000,43.98494000,77.0
56.40011000,43.98323000,77.0
56.40011000,43.98322000,77.0
56.39999000,43.98288000,77.0
56.39979000,43.98242000,77.0
56.39970000,43.98230000,77.0
56.39959000,43.98219000,77.0
56.39923000,43.98200000,76.0
56.39926000,43.98162000,77.0
56.39934000,43.98118000,78.0
56.39993000,43.98128000,78.0
56.40397000,43.98151000,76.0
56.40396000,43.98151000,76.0
56.40449000,43.98152000,76.0
56.40472000,43.98146000,77.0
56.40525000,43.98112000,79.0
56.40542000,43.98107000,78.0
56.40960000,43.98010000,77.0
56.41100000,43.97989000,76.0
56.41155000,43.97979000,76.0
56.41150000,43.97854000,76.0
56.41144000,43.97752000,76.0
56.41143000,43.97713000,75.0
56.41144000,43.97707000,75.0
56.41148000,43.97701000,75.0
56.41162000,43.97696000,75.0
56.41192000,43.97542000,75.0
56.41211000,43.97464000,72.0
56.41217000,43.97449000,72.0
56.41225000,43.97437000,72.0
56.41235000,43.97429000,71.0
56.41303000,43.97385000,70.0
56.41413000,43.97290000,71.0
56.41526000,43.97162000,70.0
56.41582000,43.97107000,71.0
56.41582000,43.97108000,71.0
56.41647000,43.97039000,71.0
