Latitude,Longitude,Elevation
45.66217000,-121.898120,50.0
45.66201000,-121.898530,52.0
45.66211000,-121.899160,51.0
45.66222000,-121.899780,20.0
45.66232000,-121.900410,20.0
45.66243000,-121.901040,20.0
45.66253000,-121.901660,20.0
45.66264000,-121.902290,20.0
45.66274000,-121.902920,16.0
45.66285000,-121.903540,20.0
45.66295000,-121.904170,30.0
45.66339000,-121.904450,45.0
45.66383000,-121.904720,57.0
45.66427000,-121.905000,66.0
45.66471000,-121.905270,72.0
45.66516000,-121.905550,61.0
45.66560000,-121.905820,62.0
45.66604000,-121.906100,71.0
45.66648000,-121.906370,71.0
45.66692000,-121.906650,71.0
45.66735000,-121.907000,61.0
45.66778000,-121.907350,58.0
45.66822000,-121.907700,53.0
45.66865000,-121.908050,55.0
45.66908000,-121.908400,52.0
45.66952000,-121.908750,42.0
45.66995000,-121.909100,32.0
45.67038000,-121.909450,29.0
45.67086000,-121.909480,29.0
45.67133000,-121.909500,25.0
45.67181000,-121.909530,25.0
45.67229000,-121.909560,25.0
45.67276000,-121.909580,20.0
45.67324000,-121.909610,20.0
45.67372000,-121.909640,20.0
45.67419000,-121.909660,20.0
45.67467000,-121.909690,20.0
45.67511000,-121.909380,20.0
45.67554000,-121.909070,20.0
45.67598000,-121.908750,20.0
45.67641000,-121.908440,20.0
45.67685000,-121.908130,20.0
45.67728000,-121.907820,20.0
45.67772000,-121.907500,20.0
45.67815000,-121.907190,22.0
45.67859000,-121.906880,26.0
45.67902000,-121.906570,25.0
45.67946000,-121.906250,23.0
45.67989000,-121.905940,31.0
45.68018000,-121.905420,37.0
45.68046000,-121.904890,40.0
45.68075000,-121.904370,37.0
45.68103000,-121.903840,37.0
45.68132000,-121.903320,40.0
45.68160000,-121.902790,35.0
45.68189000,-121.902270,36.0
45.68217000,-121.901740,33.0
45.68246000,-121.901220,31.0
45.68275000,-121.900690,29.0
45.68303000,-121.900170,29.0
45.68332000,-121.899640,26.0
45.68360000,-121.899120,26.0
45.68389000,-121.898590,27.0
45.68417000,-121.898070,28.0
45.68446000,-121.897540,27.0
45.68475000,-121.897020,25.0
45.68503000,-121.896490,21.0
45.68532000,-121.895970,20.0
45.68560000,-121.895440,20.0
45.68589000,-121.894920,20.0
45.68617000,-121.894390,20.0
45.68646000,-121.893870,20.0
45.68674000,-121.893340,20.0
45.68703000,-121.892820,20.0
45.68738000,-121.892390,20.0
45.68772000,-121.891960,20.0
45.68807000,-121.891530,20.0
45.68842000,-121.891100,20.0
45.68877000,-121.890670,20.0
45.68911000,-121.890240,20.0
45.68946000,-121.889810,20.0
45.68981000,-121.889380,22.0
45.69016000,-121.888950,22.0
45.69050000,-121.888520,21.0
45.69085000,-121.888090,21.0
45.69120000,-121.887660,21.0
45.69155000,-121.887230,25.0
45.69189000,-121.886800,31.0
45.69224000,-121.886370,34.0
45.69251000,-121.885830,36.0
45.69278000,-121.885290,36.0
45.69305000,-121.884750,36.0
45.69332000,-121.884200,38.0
45.69359000,-121.883660,40.0
45.69386000,-121.883120,42.0
45.69413000,-121.882580,43.0
45.69440000,-121.882040,46.0
45.69467000,-121.881500,47.0
45.69494000,-121.880960,44.0
45.69521000,-121.880410,44.0
45.69548000,-121.879870,44.0
45.69575000,-121.879330,42.0
45.69602000,-121.878790,39.0
45.69629000,-121.878250,34.0
45.69656000,-121.877710,33.0
45.69683000,-121.877170,31.0
45.69710000,-121.876620,27.0
45.69737000,-121.876080,27.0
45.69764000,-121.875540,28.0
45.69791000,-121.875000,30.0
45.69818000,-121.874460,33.0
45.69845000,-121.873920,31.0
45.69872000,-121.873380,29.0
45.69899000,-121.872830,30.0
45.69926000,-121.872290,28.0
45.69953000,-121.871750,27.0
45.69980000,-121.871210,28.0
45.69987000,-121.870520,29.0
45.69994000,-121.869840,32.0
45.70000000,-121.869150,35.0
45.70007000,-121.868460,39.0
45.70014000,-121.867780,39.0
45.70021000,-121.867090,40.0
45.70027000,-121.866400,37.0
45.70034000,-121.865720,35.0
45.70041000,-121.865030,36.0
45.70048000,-121.864340,39.0
45.70054000,-121.863660,37.0
45.70061000,-121.862970,38.0
45.70087000,-121.862380,35.0
45.70112000,-121.861800,35.0
45.70138000,-121.861210,36.0
45.70164000,-121.860620,40.0
45.70189000,-121.860030,44.0
45.70215000,-121.859450,47.0
45.70240000,-121.858860,50.0
45.70266000,-121.858270,51.0
45.70300000,-121.857740,53.0
45.70335000,-121.857210,54.0
45.70369000,-121.856680,55.0
45.70392000,-121.856090,57.0
45.70414000,-121.855500,56.0
45.70437000,-121.854900,52.0
45.70459000,-121.854310,54.0
45.70482000,-121.853720,58.0
45.70505000,-121.853130,55.0
